epoch,train_loss,train_acc,test_loss,test_acc,lr,epoch_time
1,2.1400770812225343,0.26192,1.6207600894927978,0.3966,0.1,12.341842889785767
2,1.5799117337799071,0.4195,1.4107443435668945,0.4749,0.1,12.063084125518799
3,1.349546802406311,0.5045,1.2418507942199708,0.5579,0.1,12.282923221588135
4,1.1156185613632201,0.60432,1.0236851623535157,0.6358,0.1,11.517093658447266
5,0.9143355174255371,0.67546,0.9489886159896851,0.6633,0.1,12.42874789237976
6,0.7519457213973999,0.73672,0.8079967625617981,0.7322,0.1,12.39622163772583
7,0.6496628841781616,0.77228,0.6929763067245484,0.7614,0.1,11.657203435897827
8,0.5955493312454223,0.79476,0.6927989632606506,0.7682,0.1,11.857747793197632
9,0.557419195652008,0.80602,0.6811129287719726,0.7697,0.1,11.64891266822815
10,0.5243956049156189,0.81956,0.7946781991958618,0.7416,0.1,11.824932336807251
11,0.4990305731773376,0.82866,0.6633512500762939,0.7757,0.1,11.636332988739014
12,0.49087036918640137,0.83166,0.5997484464645386,0.8003,0.1,11.629426717758179
13,0.47124265939712523,0.83742,0.6481786649227143,0.7833,0.1,11.90446949005127
14,0.4524332105922699,0.84496,0.7692887144565582,0.7508,0.1,11.917078256607056
15,0.4417829029560089,0.84854,0.6477910717964173,0.795,0.1,12.04306936264038
16,0.4385114796638489,0.84966,0.54451743683815,0.8169,0.1,12.018664360046387
17,0.42216137439727786,0.85626,0.8610220066070556,0.7498,0.1,12.235718727111816
18,0.41913080448150636,0.8568,0.6488354729175567,0.7954,0.1,11.960286855697632
19,0.4103290346431732,0.85922,0.5780933431625366,0.8126,0.1,11.851528644561768
20,0.4043044460678101,0.8613,0.5105632623195648,0.8339,0.1,11.828981399536133
21,0.39951845294952393,0.8627,0.6813961153507233,0.7808,0.1,11.720211744308472
22,0.39117394298553465,0.86442,0.5673715747356415,0.8129,0.1,11.817276954650879
23,0.3906728885936737,0.86748,0.4875156029701233,0.836,0.1,11.678434371948242
24,0.38856384299278257,0.86748,0.44103887712955475,0.8536,0.1,12.25857400894165
