epoch,train_loss,train_acc,test_loss,test_acc,match_acc,rand_acc,lr,epoch_time
1,0.3008515392589569,0.90794,0.25762819428443906,0.9169,0.0,0.046875,0.01,11.642645120620728
2,0.07791153156757355,0.97398,0.24918080030679704,0.9255,0.0,0.03125,0.01,11.609051704406738
3,0.06409102272987366,0.97866,,,,,0.01,9.788424730300903
4,0.058900972096920017,0.9803,0.2619222065538168,0.9295,0.0,0.046875,0.01,11.240437269210815
5,0.05005897600889206,0.98314,,,,,0.01,10.089287757873535
6,0.0431604472053051,0.98608,0.2663395130395889,0.9241,0.0,0.015625,0.01,11.012742519378662
7,0.045249256761074066,0.98452,,,,,0.01,10.04665231704712
8,0.03469925727963447,0.98862,0.2610525488615036,0.9309,0.0,0.046875,0.01,11.525917291641235
9,0.04139303343892097,0.98666,,,,,0.01,10.476410865783691
10,0.04264760991215706,0.98636,0.26793272544145585,0.9256,0.0,0.03125,0.01,11.233189105987549
11,0.043740944225788114,0.9855,,,,,0.01,10.084849834442139
12,0.04094508846640587,0.98688,0.2853710316181183,0.9223,0.0,0.03125,0.01,11.241374492645264
13,0.038519478395581244,0.98758,,,,,0.01,10.275342464447021
14,0.04087818740129471,0.98634,0.27342058725357055,0.9272,0.0,0.015625,0.01,11.232734441757202
15,0.045135006847381594,0.9853,,,,,0.01,9.961243867874146
16,0.03916871059536934,0.98688,0.29744955587387084,0.9221,0.0,0.0,0.01,11.288098096847534
17,0.04046067671775818,0.98704,,,,,0.01,9.977211952209473
18,0.03670240587234497,0.98792,0.2860702934741974,0.9241,0.0,0.03125,0.01,11.942071199417114
19,0.039155860334038735,0.98732,,,,,0.01,10.365341663360596
20,0.04062136096835137,0.98722,0.27632061314582823,0.9273,0.0,0.0,0.01,11.62917685508728
